match_id,match_datetime,match_date,completed,match_status,home_team_id,home_score,away_team_id,away_score,match_name,match_short_name,venue,season_year
720330,2025-01-21T17:45:00+00:00,2025-01-21,True,FT,174,1,362,0,Champions League,UCL,Stade Louis-II,2025
720329,2025-01-21T17:45:00+00:00,2025-01-21,True,FT,105,5,3746,0,Champions League,UCL,Gewiss Stadium,2025
720335,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,1068,2,131,1,Champions League,UCL,Riyadh Air Metropolitano,2025
720334,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,1929,4,83,5,Champions League,UCL,Estádio da Luz,2025
720333,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,107,2,124,1,Champions League,UCL,Renato Dall'Ara,2025
720336,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,570,0,111,0,Champions League,UCL,Jan Breydelstadion,2025
720331,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,364,2,166,1,Champions League,UCL,Anfield,2025
720332,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,2290,2,148,3,Champions League,UCL,Rajko Mitic Stadium,2025
720337,2025-01-21T20:00:00+00:00,2025-01-21,True,FT,521,1,134,3,Champions League,UCL,Národny Futbalovy Stadión,2025
720339,2025-01-22T17:45:00+00:00,2025-01-22,True,FT,11420,2,2250,1,Champions League,UCL,Red Bull Arena,2025
720338,2025-01-22T17:45:00+00:00,2025-01-22,True,FT,493,2,6997,0,Champions League,UCL,VELTINS-Arena,2025
720346,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,103,1,9812,0,Champions League,UCL,Stadio Giuseppe Meazza,2025
720343,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,359,3,597,0,Champions League,UCL,Emirates Stadium,2025
720342,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,256,1,2722,0,Champions League,UCL,Celtic Park,2025
720341,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,142,3,132,0,Champions League,UCL,Stadion Feijenoord,2025
720344,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,160,4,382,2,Champions League,UCL,Parc des Princes,2025
720345,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,86,5,2790,1,Champions League,UCL,Santiago Bernabéu,2025
720340,2025-01-22T20:00:00+00:00,2025-01-22,True,FT,433,0,110,1,Champions League,UCL,Generali-Arena,2025
